,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,0.9675091312361378,"[0.9780055248244687, 0.9631554676842313, 0.9737166148050972, 0.9657838668294451, 0.9780055248244687, 0.9664202771120529, 0.9742558846332856, 0.9696433933472656, 0.9631554676842313, 0.9664202771120529, 0.9643426843163203, 0.9617604522650023, 0.9737166148050972, 0.9742558846332856, 0.9643426843163203, 0.9580071465442117, 0.9657838668294451, 0.9696433933472656, 0.9617604522650023, 0.9580071465442117]",spacy,608.1469321250916,0,lessconcon
11,there's more repetition than creativity throughout the movie .,0.9289119354502497,"[0.9294540508205525, 0.9217303066805824, 0.9189438987187484, 0.9563519701188702, 0.9294540508205525, 0.903357348930852, 0.8994489260788466, 0.9421841436257353, 0.9217303066805824, 0.903357348930852, 0.9436557766731787, 0.9459999791621995, 0.9189438987187484, 0.8994489260788466, 0.9436557766731787, 0.9279929536929326, 0.9563519701188702, 0.9421841436257353, 0.9459999791621995, 0.9279929536929326]",spacy,367.97627353668213,0,lessconcon
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",0.9877918282202154,"[0.984770205002661, 0.9899271107741224, 0.9893478322786552, 0.987221684538538, 0.984770205002661, 0.9850484429163507, 0.9884287825373619, 0.9838733353959597, 0.9899271107741224, 0.9850484429163507, 0.9894617763765869, 0.9900575217258498, 0.9893478322786552, 0.9884287825373619, 0.9894617763765869, 0.9897815906560689, 0.987221684538538, 0.9838733353959597, 0.9900575217258498, 0.9897815906560689]",spacy,680.5947432518005,0,lessconcon
13,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",0.9525883447185551,"[0.9355829778882468, 0.9510115461020662, 0.9627005890478892, 0.9577588319486862, 0.9355829778882468, 0.9426087427267918, 0.9529819530325048, 0.9492246541556003, 0.9510115461020662, 0.9426087427267918, 0.9613032826851154, 0.9493213845453109, 0.9627005890478892, 0.9529819530325048, 0.9613032826851154, 0.9633894850533394, 0.9577588319486862, 0.9492246541556003, 0.9493213845453109, 0.9633894850533394]",spacy,603.1121799945831,0,lessconcon
14,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",0.9614065487042703,"[0.9620641746220411, 0.9547827249792917, 0.9734284261224252, 0.9625884042821125, 0.9620641746220411, 0.9532420147973233, 0.9542151284235607, 0.9605538963312343, 0.9547827249792917, 0.9532420147973233, 0.9685266084497932, 0.9605809396240803, 0.9734284261224252, 0.9542151284235607, 0.9685266084497932, 0.9640831694108403, 0.9625884042821125, 0.9605538963312343, 0.9605809396240803, 0.9640831694108403]",spacy,662.9447615146637,0,lessconcon
15,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",0.9703439362774888,"[0.9660658336492061, 0.9744024098490727, 0.9688188451969194, 0.9644643933436656, 0.9660658336492061, 0.9694461490996179, 0.9730261086830148, 0.9799155754341253, 0.9744024098490727, 0.9694461490996179, 0.9717747140451822, 0.9703876035600555, 0.9688188451969194, 0.9730261086830148, 0.9717747140451822, 0.9651377299140314, 0.9644643933436656, 0.9799155754341253, 0.9703876035600555, 0.9651377299140314]",spacy,1198.6377754211426,0,lessconcon
16,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",0.9837536216438585,"[0.984028187380238, 0.9841955232820057, 0.985061596618718, 0.9790613199962179, 0.984028187380238, 0.9854683899595823, 0.9804043380787265, 0.9868880701105918, 0.9841955232820057, 0.9854683899595823, 0.9873716717191201, 0.9848803940485995, 0.985061596618718, 0.9804043380787265, 0.9873716717191201, 0.9801767252447852, 0.9790613199962179, 0.9868880701105918, 0.9848803940485995, 0.9801767252447852]",spacy,764.098616361618,0,lessconcon
17,eight crazy nights is a showcase for sandler's many talents .,0.9399194527030531,"[0.9320618836883183, 0.9550630925444348, 0.9341506648465705, 0.9642050554147026, 0.9320618836883183, 0.9328761507314839, 0.9355755802021213, 0.9269458588024361, 0.9550630925444348, 0.9328761507314839, 0.9480887264489786, 0.9364689517186104, 0.9341506648465705, 0.9355755802021213, 0.9480887264489786, 0.9337585626328744, 0.9642050554147026, 0.9269458588024361, 0.9364689517186104, 0.9337585626328744]",spacy,432.71846318244934,0,lessconcon
18,"from beginning to end , this overheated melodrama plays like a student film .",0.9580983925873608,"[0.9725076035098964, 0.9407138292116243, 0.9523510655439527, 0.9636629736479205, 0.9725076035098964, 0.9511191302146849, 0.9560408001238683, 0.9600605617904171, 0.9407138292116243, 0.9511191302146849, 0.9524558016268458, 0.9611656401819069, 0.9523510655439527, 0.9560408001238683, 0.9524558016268458, 0.9709065200224908, 0.9636629736479205, 0.9600605617904171, 0.9611656401819069, 0.9709065200224908]",spacy,473.77642273902893,0,lessconcon
19,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .",0.9776212785074267,"[0.9841527589982605, 0.9721781915029695, 0.9795601702455105, 0.9754815677324221, 0.9841527589982605, 0.9767755595093641, 0.9835512912441954, 0.9831632775480592, 0.9721781915029695, 0.9767755595093641, 0.9705870443431709, 0.9732870772671304, 0.9795601702455105, 0.9835512912441954, 0.9705870443431709, 0.9774758466831835, 0.9754815677324221, 0.9831632775480592, 0.9732870772671304, 0.9774758466831835]",spacy,708.7813777923584,0,lessconcon
