,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
10,there's more repetition than creativity throughout the movie .,0.9779774063174121,"[1.0, 1.0, 0.9836238789150931, 0.9569928656100193, 1.0, 1.0, 0.9836238789150931, 0.9569928656100193, 1.0, 1.0, 0.9836238789150931, 0.9569928656100193, 0.9836238789150931, 0.9836238789150931, 0.9836238789150931, 0.9579238295987852, 0.9569928656100193, 0.9569928656100193, 0.9569928656100193, 0.9579238295987852]",spacy,0.3951444625854492,0,lime
11,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",0.992703248967303,"[0.9916936303459968, 0.9956927030552083, 0.9963542530829469, 0.9904531660811401, 0.9916936303459968, 0.9939254855027284, 0.9913137426453583, 0.9928765826131656, 0.9956927030552083, 0.9939254855027284, 0.994069559388075, 0.9908346266221535, 0.9963542530829469, 0.9913137426453583, 0.994069559388075, 0.9898187403362575, 0.9904531660811401, 0.9928765826131656, 0.9908346266221535, 0.9898187403362575]",spacy,0.5191068649291992,0,lime
12,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",0.9471842539832249,"[0.9569191269621626, 0.9504149253569691, 0.9383446076267125, 0.9312977888447538, 0.9569191269621626, 0.9592002576619285, 0.9596527865026778, 0.9326404272127551, 0.9504149253569691, 0.9592002576619285, 0.9530015750470834, 0.9596462479961206, 0.9383446076267125, 0.9596527865026778, 0.9530015750470834, 0.930724796621085, 0.9312977888447538, 0.9326404272127551, 0.9596462479961206, 0.930724796621085]",spacy,0.7883806228637695,0,lime
13,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",0.9448585419825166,"[0.9416976844655299, 0.9286728114800642, 0.9400986202956727, 0.9365684265415279, 0.9416976844655299, 0.9612571133397738, 0.9548882276193357, 0.9357993214656768, 0.9286728114800642, 0.9612571133397738, 0.9441836912989926, 0.9265300773929577, 0.9400986202956727, 0.9548882276193357, 0.9441836912989926, 0.9788894459256371, 0.9365684265415279, 0.9357993214656768, 0.9265300773929577, 0.9788894459256371]",spacy,0.9070026874542236,0,lime
14,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",0.946290601959588,"[0.9427409938445876, 0.9563552827685501, 0.9141951164938521, 0.9188415404426581, 0.9427409938445876, 0.9535608271430408, 0.9440714825614319, 0.9527215053010916, 0.9563552827685501, 0.9535608271430408, 0.9630480149415234, 0.9643119326740359, 0.9141951164938521, 0.9440714825614319, 0.9630480149415234, 0.9530593234251079, 0.9188415404426581, 0.9527215053010916, 0.9643119326740359, 0.9530593234251079]",spacy,2.9241933822631836,0,lime
15,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",0.9920953865148541,"[0.987635663969616, 0.9868865545625582, 0.992062426113324, 0.9893901646598865, 0.987635663969616, 0.9961709503568043, 0.9953020581382899, 0.9939667932903371, 0.9868865545625582, 0.9961709503568043, 0.9955288014988196, 0.989444264654207, 0.992062426113324, 0.9953020581382899, 0.9955288014988196, 0.9945661879046984, 0.9893901646598865, 0.9939667932903371, 0.989444264654207, 0.9945661879046984]",spacy,0.5502541065216064,0,lime
16,eight crazy nights is a showcase for sandler's many talents .,0.949772974595645,"[0.9120011799390005, 0.9613224859541446, 0.9684211622172489, 0.9676024826179865, 0.9120011799390005, 0.9475626983925851, 0.9061805139163936, 0.9257850824361255, 0.9613224859541446, 0.9475626983925851, 0.9624844894411344, 0.9696757708924296, 0.9684211622172489, 0.9061805139163936, 0.9624844894411344, 0.9766938801494003, 0.9676024826179865, 0.9257850824361255, 0.9696757708924296, 0.9766938801494003]",spacy,0.5964462757110596,0,lime
17,"from beginning to end , this overheated melodrama plays like a student film .",0.9638213056545337,"[0.9557449767742456, 0.9584519856614921, 0.9779707869263868, 0.9539246592867231, 0.9557449767742456, 0.9669940697363594, 0.9511113571835368, 0.9902486601095334, 0.9584519856614921, 0.9669940697363594, 0.955346456992923, 0.9787114658748483, 0.9779707869263868, 0.9511113571835368, 0.955346456992923, 0.9497086379992906, 0.9539246592867231, 0.9902486601095334, 0.9787114658748483, 0.9497086379992906]",spacy,0.4467039108276367,0,lime
18,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .",0.9805272450726378,"[0.9879887385562878, 0.9773273083852331, 0.9770390802046547, 0.992122073106548, 0.9879887385562878, 0.9722360553691236, 0.9903586790822209, 0.9829664081091065, 0.9773273083852331, 0.9722360553691236, 0.9749200021101301, 0.9816621003747313, 0.9770390802046547, 0.9903586790822209, 0.9749200021101301, 0.9686520054283432, 0.992122073106548, 0.9829664081091065, 0.9816621003747313, 0.9686520054283432]",spacy,0.6838359832763672,0,lime
19,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,0.9616225137438672,"[0.9722235472577236, 0.9546804370219305, 0.9857542794368601, 0.9623417549838704, 0.9722235472577236, 0.9642751678231655, 0.954649191541178, 0.9467877091778427, 0.9546804370219305, 0.9642751678231655, 0.9487076030678234, 0.9755576419076313, 0.9857542794368601, 0.954649191541178, 0.9487076030678234, 0.9512478052206449, 0.9623417549838704, 0.9467877091778427, 0.9755576419076313, 0.9512478052206449]",spacy,0.8938124179840088,0,lime
20,"it is a testament of quiet endurance , of common concern , of reconciled survival .",0.9739887391941918,"[0.970150081841119, 0.9829882582427583, 0.9673400056468159, 0.9733742421259609, 0.970150081841119, 0.9687904918065876, 0.9786362630795442, 0.9815609195968352, 0.9829882582427583, 0.9687904918065876, 0.963327283957057, 0.9704426791389663, 0.9673400056468159, 0.9786362630795442, 0.963327283957057, 0.9832771665062748, 0.9733742421259609, 0.9815609195968352, 0.9704426791389663, 0.9832771665062748]",spacy,0.461118221282959,0,lime
21,it's probably not easy to make such a worthless film . . .,0.9737336029894091,"[0.9582269544990589, 0.9881631655606065, 0.9835453858296007, 0.9830214968930775, 0.9582269544990589, 0.9786220240054446, 0.946204938090942, 0.9490724406768506, 0.9881631655606065, 0.9786220240054446, 0.9796648674253656, 0.9804032123452613, 0.9835453858296007, 0.946204938090942, 0.9796648674253656, 0.9904115445678838, 0.9830214968930775, 0.9490724406768506, 0.9804032123452613, 0.9904115445678838]",spacy,0.6658575534820557,0,lime
22,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",0.9893775018601986,"[0.9915020989397032, 0.9853850783962883, 0.9909165150051438, 0.9931404246996299, 0.9915020989397032, 0.9862456042391444, 0.9894083182084851, 0.9965697169462259, 0.9853850783962883, 0.9862456042391444, 0.9832849702252671, 0.9875054379745816, 0.9909165150051438, 0.9894083182084851, 0.9832849702252671, 0.9898168539675166, 0.9931404246996299, 0.9965697169462259, 0.9875054379745816, 0.9898168539675166]",spacy,0.5786101818084717,0,lime
23,a non-mystery mystery .,0.8625500550620311,"[0.8549269079335572, 1.0, 0.8549269079335572, 0.7905938662376182, 0.8549269079335572, 0.8549269079335572, 1.0, 0.8123025932054231, 1.0, 0.8549269079335572, 0.8549269079335572, 0.7905938662376182, 0.8549269079335572, 1.0, 0.8549269079335572, 0.8123025932054231, 0.7905938662376182, 0.8123025932054231, 0.7905938662376182, 0.8123025932054231]",spacy,0.3898940086364746,0,lime
24,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",0.9961207369035824,"[0.9957368595305759, 0.9951196915889956, 0.9970119949181745, 0.9963788269565504, 0.9957368595305759, 0.9967201986413075, 0.9940179196476683, 0.9933328108039924, 0.9951196915889956, 0.9967201986413075, 0.997066058952249, 0.9965893146708942, 0.9970119949181745, 0.9940179196476683, 0.997066058952249, 0.9992336933254167, 0.9963788269565504, 0.9933328108039924, 0.9965893146708942, 0.9992336933254167]",spacy,0.6154963970184326,0,lime
25,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .",0.9474003463076561,"[0.9687901283833334, 0.9483073931474657, 0.9413227305539844, 0.9311978984638881, 0.9687901283833334, 0.948327635602675, 0.9649688063955876, 0.933714776836594, 0.9483073931474657, 0.948327635602675, 0.9421781163830689, 0.963540476389029, 0.9413227305539844, 0.9649688063955876, 0.9421781163830689, 0.9316555009209349, 0.9311978984638881, 0.933714776836594, 0.963540476389029, 0.9316555009209349]",spacy,1.5926969051361084,0,lime
26,". . . very funny , very enjoyable . . .",0.9810446734540855,"[0.9895760711099435, 0.9781235527491567, 0.9895760710091215, 0.9672110586563812, 0.9895760711099435, 0.9818339329906417, 0.9999999558278725, 0.9857025981316108, 0.9781235527491567, 0.9818339329906417, 0.9818338329117345, 0.9508870631232106, 0.9895760710091215, 0.9999999558278725, 0.9818338329117345, 0.9857025980311833, 0.9672110586563812, 0.9857025981316108, 0.9508870631232106, 0.9857025980311833]",spacy,0.42223668098449707,0,lime
27,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '",0.917361695219839,"[0.9163179782037337, 0.929058979735009, 0.9141469575569033, 0.8938978284206396, 0.9163179782037337, 0.9468543492759591, 0.9333577626811208, 0.8854757946114358, 0.929058979735009, 0.9468543492759591, 0.932771197848235, 0.8765445345804164, 0.9141469575569033, 0.9333577626811208, 0.932771197848235, 0.945191569284938, 0.8938978284206396, 0.8854757946114358, 0.8765445345804164, 0.945191569284938]",spacy,1.278144359588623,0,lime
28,i can't recommend it . but it's surprisingly harmless .,0.976029401076412,"[0.9721649030671482, 0.9560976469488509, 0.9727457347942449, 0.9788383495007461, 0.9721649030671482, 0.9745547397633946, 0.9965962532082694, 0.9900119573701543, 0.9560976469488509, 0.9745547397633946, 0.9705669093134578, 0.9595430938515133, 0.9727457347942449, 0.9965962532082694, 0.9705669093134578, 0.9891744229463398, 0.9788383495007461, 0.9900119573701543, 0.9595430938515133, 0.9891744229463398]",spacy,0.4275219440460205,0,lime
29,"narratively , trouble every day is a plodding mess .",0.939675577907187,"[0.9285578018206174, 0.9772208551362068, 0.9285578018206174, 0.9825123932161477, 0.9285578018206174, 0.8908733975906088, 1.0, 0.9251852230240319, 0.9772208551362068, 0.8908733975906088, 0.8908733975906088, 0.9477896858490019, 0.9285578018206174, 1.0, 0.8908733975906088, 0.9251852230240319, 0.9825123932161477, 0.9251852230240319, 0.9477896858490019, 0.9251852230240319]",spacy,0.6559228897094727,0,lime
30,[a] rather thinly-conceived movie .,0.9318683758589998,"[1.0, 0.9084947191193594, 0.8971102603470573, 1.0, 1.0, 0.9084947191193594, 0.8971102603470573, 1.0, 0.9084947191193594, 0.9084947191193594, 0.9018688201907498, 0.9084947191193594, 0.8971102603470573, 0.8971102603470573, 0.9018688201907498, 0.8971102603470573, 1.0, 1.0, 0.9084947191193594, 0.8971102603470573]",spacy,0.5514752864837646,0,lime
31,has a lot of the virtues of eastwood at his best .,0.9738051588228538,"[0.98271261967523, 0.9592767990701188, 0.9802939304621968, 0.9836370418557279, 0.98271261967523, 0.9688545865274143, 0.9789446232230712, 0.9585835445943175, 0.9592767990701188, 0.9688545865274143, 0.9782509872228373, 0.9621805319009399, 0.9802939304621968, 0.9789446232230712, 0.9782509872228373, 0.9853169236966814, 0.9836370418557279, 0.9585835445943175, 0.9621805319009399, 0.9853169236966814]",spacy,0.4350731372833252,0,lime
32,kept aloft largely by a comically adept ensemble .,0.8877571465916348,"[0.936669851821664, 0.9116068777820572, 0.8414459912715228, 0.8607892355805419, 0.936669851821664, 0.8820252717053639, 0.8718529881408866, 0.8771147580142235, 0.9116068777820572, 0.8820252717053639, 0.8744873617183593, 0.8775890798963033, 0.8414459912715228, 0.8718529881408866, 0.8744873617183593, 0.9439900499854255, 0.8607892355805419, 0.8771147580142235, 0.8775890798963033, 0.9439900499854255]",spacy,0.4107944965362549,0,lime
33,"the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .",0.9895546025522393,"[0.9908535756564856, 0.989821402022363, 0.9955507047938963, 0.9891550199088409, 0.9908535756564856, 0.9951960215717738, 0.9821784739051275, 0.9955960915597808, 0.989821402022363, 0.9951960215717738, 0.9793511353201209, 0.9972513109476644, 0.9955507047938963, 0.9821784739051275, 0.9793511353201209, 0.980592289836341, 0.9891550199088409, 0.9955960915597808, 0.9972513109476644, 0.980592289836341]",spacy,0.5077016353607178,0,lime
34,a fascinating but choppy documentary .,0.8081690047389655,"[0.5643401192620707, 0.7695792430991972, 0.7608327036816064, 0.7695792430991972, 0.5643401192620707, 0.8227728278313666, 0.8083978313504876, 0.8227728278313666, 0.7695792430991972, 0.8227728278313666, 0.8817076256171813, 1.0, 0.7608327036816064, 0.8083978313504876, 0.8817076256171813, 0.8817076256171813, 0.7695792430991972, 0.8227728278313666, 1.0, 0.8817076256171813]",spacy,0.38993167877197266,0,lime
35,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",0.9880946888620779,"[0.9878030924563624, 0.9909953655402964, 0.9856804167198975, 0.9869128187768177, 0.9878030924563624, 0.9962425523977723, 0.9845620973514917, 0.9909821018764058, 0.9909953655402964, 0.9962425523977723, 0.9833329215512328, 0.9913835836502375, 0.9856804167198975, 0.9845620973514917, 0.9833329215512328, 0.9830519383002652, 0.9869128187768177, 0.9909821018764058, 0.9913835836502375, 0.9830519383002652]",spacy,0.5695312023162842,0,lime
36,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",0.9953718674575139,"[0.9908439401154693, 0.9988371157358689, 0.9987318753243166, 0.9957483238769281, 0.9908439401154693, 0.9922598113685164, 0.9918891543127587, 0.9956894011443824, 0.9988371157358689, 0.9922598113685164, 0.9979426784653801, 0.9962798005104971, 0.9987318753243166, 0.9918891543127587, 0.9979426784653801, 0.9954965737210217, 0.9957483238769281, 0.9956894011443824, 0.9962798005104971, 0.9954965737210217]",spacy,0.7685990333557129,0,lime
