,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
36,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .,0.9843606055892465,"[0.9961783604940873, 0.974032372840775, 0.9740324252421908, 0.9706189548847358, 0.9961783604940873, 0.9799481579491047, 0.9799481461970062, 0.9784875233970108, 0.974032372840775, 0.9799481579491047, 0.9999999347940061, 0.9951800960141587, 0.9740324252421908, 0.9799481461970062, 0.9999999347940061, 0.9951800840793902, 0.9706189548847358, 0.9784875233970108, 0.9951800960141587, 0.9951800840793902]",spacy,0.5589807033538818,0,lime
37,"weirdly , broomfield has compelling new material but he doesn't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .",0.9967302104100988,"[0.9967797425145001, 0.9959606516105015, 0.997502845645277, 0.9958391112510987, 0.9967797425145001, 0.9967717000811356, 0.9977886023979691, 0.9989272377678781, 0.9959606516105015, 0.9967717000811356, 0.9966162223691797, 0.9948335188316872, 0.997502845645277, 0.9977886023979691, 0.9966162223691797, 0.9962824716317603, 0.9958391112510987, 0.9989272377678781, 0.9948335188316872, 0.9962824716317603]",spacy,0.6960175037384033,0,lime
38,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,0.9747191666562772,"[0.9784835538729797, 0.9628402223342113, 0.975624727091826, 0.9707832212028633, 0.9784835538729797, 0.9723487100639722, 0.9800055496032812, 0.9761844714500407, 0.9628402223342113, 0.9723487100639722, 0.9769919812027779, 0.9645684005324673, 0.975624727091826, 0.9800055496032812, 0.9769919812027779, 0.9893608292083528, 0.9707832212028633, 0.9761844714500407, 0.9645684005324673, 0.9893608292083528]",spacy,0.7678656578063965,0,lime
39,"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .",0.9825930775653438,"[0.9773692074678065, 0.9821853926385338, 0.9855123107106294, 0.982846042507754, 0.9773692074678065, 0.9805632069421915, 0.9749050871786589, 0.9883299559432438, 0.9821853926385338, 0.9805632069421915, 0.9862013857726688, 0.9776598129156375, 0.9855123107106294, 0.9749050871786589, 0.9862013857726688, 0.990358373576316, 0.982846042507754, 0.9883299559432438, 0.9776598129156375, 0.990358373576316]",spacy,0.5598726272583008,0,lime
40,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,0.9928590012745865,"[0.9966857770499232, 0.9911475120589236, 0.9947841854197523, 0.9934119330242674, 0.9966857770499232, 0.9911956573558096, 0.9918159482853476, 0.9922614147120407, 0.9911475120589236, 0.9911956573558096, 0.9892666144043195, 0.9899331046815499, 0.9947841854197523, 0.9918159482853476, 0.9892666144043195, 0.9980878657539298, 0.9934119330242674, 0.9922614147120407, 0.9899331046815499, 0.9980878657539298]",spacy,0.5874156951904297,0,lime
41,it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob action-comedy .,0.9606642682619316,"[0.9411830709635365, 0.960392098301161, 0.9352665981042244, 0.9415221660184051, 0.9411830709635365, 0.9688165580737921, 0.9710923635786519, 0.9682478671441689, 0.960392098301161, 0.9688165580737921, 0.9635643505548817, 0.9812581171909525, 0.9352665981042244, 0.9710923635786519, 0.9635643505548817, 0.9752994926895431, 0.9415221660184051, 0.9682478671441689, 0.9812581171909525, 0.9752994926895431]",spacy,0.5770947933197021,0,lime
42,"cinematic pyrotechnics aside , the only thing avary seems to care about are mean giggles and pulchritude . it makes sense that he went back to school to check out the girls -- his film is a frat boy's idea of a good time .",0.9918115074309302,"[0.99536274686231, 0.9940407187249567, 0.9905391029570627, 0.997268925020087, 0.99536274686231, 0.9896819183711142, 0.9872033946530443, 0.9957865574053762, 0.9940407187249567, 0.9896819183711142, 0.9885505952630887, 0.9926778621927987, 0.9905391029570627, 0.9872033946530443, 0.9885505952630887, 0.9870032528594644, 0.997268925020087, 0.9957865574053762, 0.9926778621927987, 0.9870032528594644]",spacy,1.3183245658874512,0,lime
43,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,0.9875669420714406,"[0.9797424676678225, 0.9825292713590519, 0.979742438802086, 0.9843859101995225, 0.9797424676678225, 0.9950344923486075, 1.0000000148548913, 0.9862985797932229, 0.9825292713590519, 0.9950344923486075, 0.995034523221902, 0.9866031120718347, 0.979742438802086, 1.0000000148548913, 0.995034523221902, 0.9862986103954651, 0.9843859101995225, 0.9862985797932229, 0.9866031120718347, 0.9862986103954651]",spacy,0.5802457332611084,0,lime
44,"an amusing , breezily apolitical documentary about life on the campaign trail .",0.9323467192235585,"[0.8968211179471695, 0.9749814912602982, 0.9445365200680136, 0.9166303466278602, 0.8968211179471695, 0.9302841142861612, 0.9212737045740088, 0.9520639706450067, 0.9749814912602982, 0.9302841142861612, 0.9112641229522875, 0.936623672877382, 0.9445365200680136, 0.9212737045740088, 0.9112641229522875, 0.9389881309973985, 0.9166303466278602, 0.9520639706450067, 0.936623672877382, 0.9389881309973985]",spacy,0.5311782360076904,0,lime
45,this 100-minute movie only has about 25 minutes of decent material .,0.9125475915441752,"[0.9484375886883007, 0.9378211261200214, 0.9351665203256319, 0.9135872949736349, 0.9484375886883007, 0.9731546858019501, 0.87290304315339, 0.8940748369133024, 0.9378211261200214, 0.9731546858019501, 0.8877203714484405, 0.8910040468033462, 0.9351665203256319, 0.87290304315339, 0.8877203714484405, 0.8716064012137352, 0.9135872949736349, 0.8940748369133024, 0.8910040468033462, 0.8716064012137352]",spacy,1.11076021194458,0,lime
46,"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why .",0.9855429307620698,"[0.9892069798918701, 0.9889187796199878, 0.987278251466833, 0.9867756303536593, 0.9892069798918701, 0.9808545582543394, 0.9897639309424561, 0.9804524773213589, 0.9889187796199878, 0.9808545582543394, 0.985187841459887, 0.981047808806221, 0.987278251466833, 0.9897639309424561, 0.985187841459887, 0.9859430495040874, 0.9867756303536593, 0.9804524773213589, 0.981047808806221, 0.9859430495040874]",spacy,1.084613561630249,0,lime
47,occasionally amateurishly made but a winsome cast and nice dialogue keeps it going .,0.9673635777177543,"[0.9750285917360142, 0.9762758230045927, 0.9408687681974478, 0.9502604055082244, 0.9750285917360142, 0.960614905972286, 0.9685942818083658, 0.9724602617120818, 0.9762758230045927, 0.960614905972286, 0.9711062891743779, 0.9733642457163816, 0.9408687681974478, 0.9685942818083658, 0.9711062891743779, 0.9850622043477707, 0.9502604055082244, 0.9724602617120818, 0.9733642457163816, 0.9850622043477707]",spacy,0.5300576686859131,0,lime
48,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed .",0.9880752727658587,"[0.9957679956168479, 0.9873613971177433, 0.9826021054429973, 0.9778629547325136, 0.9957679956168479, 0.9857624535305688, 0.983841618462841, 0.9829459202558867, 0.9873613971177433, 0.9857624535305688, 0.9969804409435752, 0.9936067002036073, 0.9826021054429973, 0.983841618462841, 0.9969804409435752, 0.994021141352005, 0.9778629547325136, 0.9829459202558867, 0.9936067002036073, 0.994021141352005]",spacy,0.5716266632080078,0,lime
49,odd and weird .,0.7030345785132042,"[0.25758644628301025, 0.25758644628301025, 0.25758644628301025, 0.25758644628301025, 0.25758644628301025, 1.0, 1.0, 1.0, 0.25758644628301025, 1.0, 1.0, 1.0, 0.25758644628301025, 1.0, 1.0, 1.0, 0.25758644628301025, 1.0, 1.0, 1.0]",spacy,0.46938109397888184,0,lime
50,"it's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script , unimpressive acting and indifferent direction .",0.9924097155668692,"[0.9934481881893737, 0.9950361039377132, 0.989914970214371, 0.9914058396938252, 0.9934481881893737, 0.9947559956570877, 0.9915214002378154, 0.9907667711093878, 0.9950361039377132, 0.9947559956570877, 0.9889536907375018, 0.9916517972753601, 0.989914970214371, 0.9915214002378154, 0.9889536907375018, 0.9966423986162577, 0.9914058396938252, 0.9907667711093878, 0.9916517972753601, 0.9966423986162577]",spacy,0.6760702133178711,0,lime
51,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,0.9803355203758022,"[0.9829111463869037, 0.9887821835818826, 0.9745365519834795, 0.9935379903505187, 0.9829111463869037, 0.9804580524155322, 0.9719917049817478, 0.9792968453341765, 0.9887821835818826, 0.9804580524155322, 0.9749684322130218, 0.9863157551555486, 0.9745365519834795, 0.9719917049817478, 0.9749684322130218, 0.9705565413552124, 0.9935379903505187, 0.9792968453341765, 0.9863157551555486, 0.9705565413552124]",spacy,0.7735662460327148,0,lime
