,dataset,bb,distance,method
67,fake,RF,0.9521116744394263,wordnet
68,fake,RF,0.9689049535380996,wordnet
69,fake,RF,0.9830331614757226,wordnet
70,fake,RF,0.9296994323696988,wordnet
71,fake,RF,0.9948344865455216,wordnet
72,fake,RF,0.9417901967106892,wordnet
73,fake,RF,0.8357329828731354,wordnet
74,fake,RF,0.8610929671169185,wordnet
0,polarity,DNN,0.943336379825094,wordnet
1,polarity,DNN,0.9478089498194228,wordnet
2,polarity,DNN,0.9873182792487216,wordnet
3,polarity,DNN,0.9950240140316542,wordnet
4,polarity,DNN,0.988910419340483,wordnet
5,polarity,DNN,0.9157478432917352,wordnet
6,polarity,DNN,0.9865117034582724,wordnet
7,polarity,DNN,0.9563439046559686,wordnet
8,polarity,DNN,0.9862853238333426,wordnet
9,polarity,DNN,0.955763403534452,wordnet
10,polarity,DNN,0.9748553492613268,wordnet
11,polarity,DNN,0.9907874942295688,wordnet
12,polarity,DNN,0.9991517504267774,wordnet
13,polarity,DNN,0.950269250304063,wordnet
14,polarity,DNN,0.9723261576431372,wordnet
15,polarity,DNN,0.96681820193749,wordnet
16,polarity,DNN,0.993452859031701,wordnet
17,polarity,DNN,0.8491827867517536,wordnet
18,polarity,DNN,0.9730580914690018,wordnet
19,polarity,DNN,0.9852537766609104,wordnet
20,polarity,DNN,0.9886133578098054,wordnet
21,polarity,DNN,0.984077324085792,wordnet
22,polarity,DNN,0.9831474976254172,wordnet
23,polarity,DNN,0.9897425561264994,wordnet
24,polarity,DNN,0.8452756533060756,wordnet
25,polarity,DNN,0.9926669735978292,wordnet
26,polarity,DNN,0.9440118088207662,wordnet
27,polarity,DNN,0.983344492678636,wordnet
28,polarity,DNN,0.9586731347825916,wordnet
29,polarity,DNN,0.9849907439102186,wordnet
30,polarity,DNN,0.9102696415972232,wordnet
31,polarity,DNN,0.957518957034288,wordnet
32,polarity,DNN,0.951970876218342,wordnet
33,polarity,DNN,0.9674163560401474,wordnet
34,polarity,DNN,0.9806583323196154,wordnet
35,polarity,DNN,0.9934503737279414,wordnet
36,polarity,DNN,0.8701982612299319,wordnet
37,polarity,DNN,0.9913726066662786,wordnet
38,polarity,DNN,0.9953058140426094,wordnet
39,polarity,DNN,0.9629855066285292,wordnet
40,polarity,DNN,0.992311149827762,wordnet
41,polarity,DNN,0.962579917173046,wordnet
42,polarity,DNN,0.9734146530976414,wordnet
43,polarity,DNN,0.986488540519518,wordnet
44,polarity,DNN,0.9687555709263824,wordnet
45,polarity,DNN,0.9938004667281654,wordnet
46,polarity,DNN,0.9915933843272112,wordnet
47,polarity,DNN,0.9813269305637828,wordnet
48,polarity,DNN,0.990930396079602,wordnet
49,polarity,DNN,0.9563744021846174,wordnet
50,polarity,DNN,0.988256976861676,wordnet
51,polarity,DNN,0.9930981623806794,wordnet
52,polarity,DNN,0.934952675869517,wordnet
53,polarity,DNN,0.9537007818246128,wordnet
54,polarity,DNN,0.9418794548903232,wordnet
55,polarity,DNN,0.9941766775678328,wordnet
56,polarity,DNN,0.971780344350464,wordnet
57,polarity,DNN,0.9944555970906864,wordnet
58,polarity,DNN,0.9017382286841794,wordnet
59,polarity,DNN,0.7548593765912637,wordnet
60,polarity,DNN,0.985235634285603,wordnet
61,polarity,DNN,0.9660262877844652,wordnet
62,polarity,DNN,0.966624906418418,wordnet
63,polarity,DNN,0.993973328511538,wordnet
64,polarity,DNN,0.9430913181140016,wordnet
65,polarity,DNN,0.9932442721684984,wordnet
66,polarity,DNN,0.9823552753217936,wordnet
67,polarity,DNN,0.9974819857073212,wordnet
68,polarity,DNN,0.9177179849818498,wordnet
69,polarity,DNN,0.97998981167042,wordnet
70,polarity,DNN,0.9900822596008954,wordnet
71,polarity,DNN,0.9886493900901532,wordnet
72,polarity,DNN,0.935623981357636,wordnet
73,polarity,DNN,0.9811040766087415,wordnet
74,polarity,DNN,0.9857693062996292,wordnet
0,polarity,RF,0.927937094170366,wordnet
1,polarity,RF,0.9685181215053568,wordnet
2,polarity,RF,0.9347326059721172,wordnet
3,polarity,RF,0.9851663821890152,wordnet
4,polarity,RF,0.9919291405310734,wordnet
5,polarity,RF,0.9811174589622484,wordnet
6,polarity,RF,0.9754088122133954,wordnet
7,polarity,RF,0.9910245140136972,wordnet
8,polarity,RF,0.9753074190081896,wordnet
9,polarity,RF,0.982279360030678,wordnet
10,polarity,RF,0.9957606665497024,wordnet
11,polarity,RF,0.9795116484625276,wordnet
12,polarity,RF,0.9802071065383344,wordnet
13,polarity,RF,0.994710401259474,wordnet
14,polarity,RF,0.9812818129987124,wordnet
15,polarity,RF,0.9871036440647256,wordnet
16,polarity,RF,0.9590419948381284,wordnet
17,polarity,RF,0.9975563449654272,wordnet
18,polarity,RF,0.992288756947768,wordnet
19,polarity,RF,0.9951235476804676,wordnet
20,polarity,RF,0.9786321497298852,wordnet
21,polarity,RF,0.986952680117488,wordnet
